isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST WEST 230 0
true false WEST NORTH 229 10
true false NORTH SOUTH 229 10
true false SOUTH NORTH 229 10
true false NORTH WEST 229 10
true false WEST WEST 228 20
true false WEST EAST 227 30
true false EAST EAST 227 30
true false EAST NORTH 227 30
true false NORTH SOUTH 227 30
true false SOUTH SOUTH 227 30
true false SOUTH NORTH 227 30
true false NORTH NORTH 227 30
true false NORTH EAST 227 30
true false EAST SOUTH 227 30
true false SOUTH NORTH 226 40
true false NORTH NORTH 226 40
true false NORTH NORTH 226 40
true false NORTH NORTH 226 40
true false NORTH EAST 226 40
true false EAST EAST 225 50
true false EAST EAST 224 60
true false EAST WEST 223 70
true false WEST NORTH 223 70
true false NORTH SOUTH 223 70
true false SOUTH NORTH 223 70
true false NORTH EAST 223 70
true false EAST SOUTH 223 70
true false SOUTH WEST 223 70
true false WEST WEST 223 70
true false WEST SOUTH 223 70
true false SOUTH SOUTH 223 70
true false SOUTH EAST 223 70
true false EAST EAST 223 70
true false EAST EAST 223 70
true false EAST SOUTH 222 80
true false SOUTH NORTH 222 80
true false NORTH SOUTH 222 80
true false SOUTH WEST 222 80
true false WEST WEST 222 80
true false WEST NORTH 222 80
true false NORTH NORTH 222 80
true false NORTH SOUTH 222 80
true false SOUTH SOUTH 222 80
true false SOUTH NORTH 222 80
true false NORTH NORTH 222 80
true false NORTH SOUTH 222 80
true false SOUTH NORTH 222 80
true false NORTH NORTH 222 80
true false NORTH WEST 222 80
true false WEST NORTH 222 80
true false NORTH WEST 222 80
true false WEST NORTH 222 80
true false NORTH WEST 222 80
true false WEST NORTH 222 80
true false NORTH SOUTH 222 80
true false SOUTH SOUTH 222 80
true false SOUTH EAST 222 80
true false EAST WEST 222 80
true false WEST NORTH 222 80
true false NORTH SOUTH 222 80
true false SOUTH WEST 222 80
true false WEST SOUTH 222 80
true false SOUTH SOUTH 222 80
true false SOUTH SOUTH 222 80
